city,index
Oronogo-Missouri,70.5
Oroville-California,477.5
Oroville-Washington,205.5
Orrick-Missouri,59.9
Orrville-Ohio,152.1
Orting-Washington,116.9
Ortonville-Minnesota,104.8
Orwigsburg-Pennsylvania,54.1
Osage-Beach-Missouri,484.6
Osage-City-Kansas,190.6
Osage-Iowa,50.9
Osakis-Minnesota,64.6
Osawatomie-Kansas,129.6
Osburn-Idaho,42
Osceola-Arkansas,1041.8
Osceola-Iowa,270.7
Osceola-Wisconsin,215.1
Oscoda-Michigan,154
Oshkosh-Wisconsin,181.3
Oskaloosa-Iowa,227.2
Osseo-Minnesota,1.4
Osseo-Wisconsin,83.1
Ossining-New-York,54.4
Ossipee-New-Hampshire,104.1
Oswego-Illinois,66
Oswego-Kansas,48.8
Oswego-New-York,271.2
Othello-Washington,123.9
Otsego-Michigan,47.4
Ottawa-Hills-Ohio,38.7
Ottawa-Illinois,116.1
Ottawa-Kansas,193.9
Ottawa-Ohio,13.7
Ottumwa-Iowa,370.3
Ouray-Colorado,58.1
Overland-Missouri,253.4
Overland-Park-Kansas,179.4
Overton-Texas,46.6
Ovid-Michigan,14.3
Oviedo-Florida,85.6
Ovilla-Texas,17.5
Owasso-Oklahoma,170.8
Owatonna-Minnesota,111.2
Owego-New-York,349.1
Owens-Cross-Roads-Alabama,118.4
Owensboro-Kentucky,291.3
Owensville-Missouri,292.9
Owensville-Ohio,107.2
Owenton-Kentucky,5.2
Owingsville-Kentucky,44.7
Owosso-Michigan,307.1
Oxford-Alabama,268.3
Oxford-Georgia,42.8
Oxford-Kansas,101.6
Oxford-Maine,156.6
Oxford-Maryland,30.1
Oxford-Massachusetts,139.4
Oxford-Michigan,22.4
Oxford-Mississippi,170.5
Oxford-New-Jersey,20.6
Oxford-New-York,5.8
Oxford-North-Carolina,423.3
Oxford-Ohio,29.7
Oxford-Pennsylvania,122.2
Oxford-Wisconsin,117.7
Oxnard-California,211.1
Oyster-Bay-Cove-New-York,13.7
Oyster-Creek-Texas,383.8
Ozark-Alabama,433.3
Ozark-Arkansas,401.3
Ozark-Missouri,174.8
Pacific-Grove-California,72.5
Pacific-Missouri,127.9
Pacific-Washington,142.9
Pacifica-California,148.2
Pacolet-South-Carolina,207.8
Paden-City-West-Virginia,2.7
Paducah-Kentucky,338.3
Paducah-Texas,65.2
Page-Arizona,757.6
Pagedale-Missouri,797.8
Pageland-South-Carolina,778.1
Pagosa-Springs-Colorado,176.6
Pahokee-Florida,371.3
Painesville-Ohio,199.8
Painted-Post-New-York,33.3
Paintsville-Kentucky,77.7
Palacios-Texas,184.6
Palatine-Illinois,45.3
Palatka-Florida,336.7
Palestine-Illinois,137.6
Palestine-Texas,300.6
Palisade-Colorado,164.5
Palisades-Park-New-Jersey,44.3
Palm-Bay-Florida,205.4
Palm-Beach-Florida,72.6
Palm-Beach-Gardens-Florida,141.5
Palm-Beach-Shores-Florida,117.4
Palm-Desert-California,238.7
Palm-Springs-California,407.9
Palm-Springs-Florida,337.8
Palm-Valley-Texas,12.8
Palmdale-California,201.7
Palmer-Alaska,223.1
Palmer-Massachusetts,142.9
Palmer-Texas,69.3
Palmerton-Pennsylvania,81.4
Palmetto-Bay-Florida,181.2
Palmetto-Florida,281.3
Palmetto-Georgia,263.3
Palmhurst-Texas,272
Palmview-Texas,403.8
Palmyra-Illinois,318.6
Palmyra-Missouri,132
Palmyra-New-Jersey,132.2
Palmyra-New-York,73
Palmyra-Pennsylvania,133.9
Palmyra-Wisconsin,34
Palo-Alto-California,175.6
Palos-Heights-Illinois,51
Palos-Hills-Illinois,65.9
Palos-Park-Illinois,19.1
Palos-Verdes-Estates-California,41.9
Palouse-Washington,25.3
Pampa-Texas,395.2
Pamplico-South-Carolina,204.8
Pana-Illinois,120.9
Panama-City-Beach-Florida,605.6
Panama-City-Florida,412.3
Pangburn-Arkansas,375.4
Panhandle-Texas,127.5
Pantego-Texas,438.6
Paola-Kansas,140.1
Papillion-Nebraska,168.7
Parachute-Colorado,670.2
Paradise-California,77.3
Paradise-Valley-Arizona,88
Paragould-Arkansas,496.3
Paramount-California,308.9
Paramus-New-Jersey,186.1
Parchment-Michigan,231.2
Paris-Arkansas,331.4
Paris-Illinois,315.8
Paris-Kentucky,149.6
Paris-Maine,175.7
Paris-Tennessee,220.1
Paris-Texas,427.6
Park-City-Illinois,238.8
Park-City-Kansas,172.6
Park-City-Utah,286
Park-Falls-Wisconsin,69.6
Park-Forest-Illinois,224.9
Park-Hills-Kentucky,82.6
Park-Hills-Missouri,298.1
Park-Rapids-Minnesota,412.2
Park-Ridge-Illinois,51.2
Park-Ridge-New-Jersey,8.7
Parker-Arizona,141
Parker-Colorado,106.4
Parker-Florida,269.3
Parker-Texas,26.1
Parkersburg-West-Virginia,466.8
Parkesburg-Pennsylvania,124.9
Parkin-Arkansas,236.9
Parkland-Florida,34.4
Parkside-Pennsylvania,466.8
Parksley-Virginia,29.6
Parkville-Missouri,129.1
Parlier-California,158.2
Parma-Heights-Ohio,103
Parma-Idaho,200.7
Parma-Missouri,330.3
Parma-Ohio,98.1
Parowan-Utah,406.4
Parrish-Alabama,693
Parsons-Kansas,423.8
Parsons-Tennessee,112.4
Pasadena-California,221.4
Pasadena-Park-Missouri,137.6
Pasadena-Texas,287.3
Pascagoula-Mississippi,395.1
Pasco-Washington,176.6
Paso-Robles-California,145.4
Pass-Christian-Mississippi,275.9
Passaic-New-Jersey,222.2
Patagonia-Arizona,9.2
Pataskala-Ohio,91.4
Paterson-New-Jersey,362.9
Patterson-California,168.9
Patterson-Louisiana,206.4
King-North-Carolina,217.2
Kingfisher-Oklahoma,264
Kingman-Arizona,295.2
Kingman-Kansas,145.4
Kings-Mountain-North-Carolina,219.2
Kings-Point-New-York,43.3
Kingsburg-California,145
Kingsford-Michigan,148.3
Kingsland-Georgia,176.2
Kingsport-Tennessee,410
Kingston-Georgia,91.6
Kingston-Illinois,3.5
Kingston-Massachusetts,84.5
Kingston-Michigan,300.7
Kingston-New-Hampshire,43.7
Kingston-New-York,212.3
Kingston-Oklahoma,18.5
Kingston-Pennsylvania,32.8
Kingston-Springs-Tennessee,26.5
Kingston-Tennessee,105.5
Kingstree-South-Carolina,496.7
Kingsville-Texas,319.2
Kinloch-Missouri,2103.7
Kinnelon-New-Jersey,20.9
Kinston-Alabama,341.4
Kinston-North-Carolina,611.3
Kiowa-Kansas,117.8
Kirby-Texas,170.5
Kirbyville-Texas,181.4
Kirkland-Illinois,106.9
Kirkland-New-York,2.4
Kirkland-Washington,148.6
Kirksville-Missouri,218.1
Kirkwood-Missouri,101.3
Kirtland-Ohio,32.8
Kissimmee-Florida,263.1
Kittanning-Pennsylvania,300.2
Kittery-Maine,100.3
Kittitas-Washington,87.5
Kitty-Hawk-North-Carolina,217
Klamath-Falls-Oregon,342.5
Knightdale-North-Carolina,162.1
Knob-Noster-Missouri,91.6
Knox-City-Texas,225.2
Knox-Indiana,253.1
Knox-Pennsylvania,3.7
Knoxville-Illinois,84.5
Knoxville-Tennessee,426.4
Kodiak-Alaska,480.1
Kohler-Wisconsin,67.9
Kokomo-Indiana,311.7
Konawa-Oklahoma,376.5
Koppel-Pennsylvania,210.2
Kosciusko-Mississippi,274.3
Kotzebue-Alaska,1035.1
Kountze-Texas,128.9
Krebs-Oklahoma,151.9
Kremmling-Colorado,229.4
Kress-Texas,34.8
Kronenwetter-Wisconsin,78.3
Krotz-Springs-Louisiana,356.8
Kulpmont-Pennsylvania,55.3
Kutztown-Pennsylvania,103.6
Kyle-Texas,109.6
La-Canada-Flintridge-California,106.7
La-Center-Washington,81.5
La-Crescent-Minnesota,28.3
La-Crosse-Virginia,12.2
La-Crosse-Wisconsin,252.2
La-Cygne-Kansas,51.3
La-Farge-Wisconsin,43.4
La-Fayette-Alabama,277.1
La-Fayette-Georgia,224.3
La-Feria-Texas,147.7
La-Follette-Tennessee,445
La-Grande-Oregon,172.1
La-Grange-Illinois,62.2
La-Grange-Kentucky,116.9
La-Grange-Missouri,34.4
La-Grange-North-Carolina,465.9
La-Grange-Park-Illinois,37.3
La-Grange-Texas,282.9
La-Grulla-Texas,80.7
La-Habra-California,160.9
La-Habra-Heights-California,95.8
La-Harpe-Illinois,50.6
La-Joya-Texas,322.1
La-Junta-Colorado,521.1
La-Marque-Texas,362.1
La-Mesa-California,179.4
La-Mirada-California,122.6
La-Moille-Illinois,5.4
La-Palma-California,120.5
La-Plata-Maryland,251.4
La-Plata-Missouri,122.7
La-Porte-Indiana,247.8
La-Porte-Texas,151.8
La-Puente-California,174.7
La-Quinta-California,180.6
La-Salle-Colorado,118.8
La-Salle-Illinois,83.6
La-Vergne-Tennessee,221.1
La-Verkin-Utah,148.8
La-Verne-California,147.9
La-Vernia-Texas,54.3
La-Veta-Colorado,822.8
La-Villa-Texas,51.4
La-Vista-Nebraska,97.4
LaGrange-Georgia,340.4
LaMoure-North-Dakota,7.7
Lacey-Washington,207.9
Lackawanna-New-York,239.1
Lacon-Illinois,45.7
Laconia-New-Hampshire,265.2
Lacy-Lakeview-Texas,273.2
Ladd-Illinois,22.5
Laddonia-Missouri,74
Ladue-Missouri,102.1
Lady-Lake-Florida,104.9
Ladysmith-Wisconsin,73.6
Lafayette-California,68.8
Lafayette-Colorado,214.5
Lafayette-Indiana,304.6
Lafayette-Louisiana,350.7
Lafayette-Tennessee,242.8
Lago-Vista-Texas,171.6
Laguna-Beach-California,153.4
Laguna-Hills-California,95.6
Laguna-Niguel-California,69
Laguna-Vista-Texas,120.1
Laguna-Woods-California,46.6
Lahoma-Oklahoma,227.1
Laingsburg-Michigan,165.5
Lake-Alfred-Florida,42.5
Lake-Arthur-Louisiana,173.1
Lake-Bluff-Illinois,45.8
Lake-Charles-Louisiana,385.7
Lake-City-Arkansas,99.3
Lake-City-Florida,631.2
Lake-City-Georgia,234.4
Lake-City-Minnesota,90.5
Lake-City-Pennsylvania,13.4
Lake-City-South-Carolina,629.4
Lake-City-Tennessee,485.1
Lake-Clarke-Shores-Florida,77.9
Lake-Como-New-Jersey,66.5
Lake-Crystal-Minnesota,122.6
Lake-Dallas-Texas,173.9
Lake-Delton-Wisconsin,906.2
Lake-Elsinore-California,210.4
Lake-Forest-California,62.4
Lake-Forest-Illinois,41.5
Lake-Forest-Park-Washington,75.2
Lake-Geneva-Wisconsin,134
Lake-Hallie-Wisconsin,184
Lake-Hamilton-Florida,231
Lake-Havasu-City-Arizona,123.9
Lake-Helen-Florida,73
Lake-Jackson-Texas,194.5
Lake-Lafayette-Missouri,117.5
Lake-Linden-Michigan,19.8
Lake-Lotawana-Missouri,84.7
Lake-Lure-North-Carolina,20
Lake-Mary-Florida,85
Lake-Mills-Wisconsin,69.6
Lake-Odessa-Michigan,85
Lake-Orion-Michigan,115.5
Lake-Oswego-Oregon,85.6
Lake-Ozark-Missouri,115.2
Lake-Park-Florida,687.4
Lake-Park-Georgia,104.5
Lake-Placid-Florida,346.5
Lake-Placid-New-York,116.1
Lake-Providence-Louisiana,151.2
Lake-Shore-Minnesota,31.2
Lake-St,100.1
Lake-Station-Indiana,204.6
Lake-Stevens-Washington,89.1
Lake-Success-New-York,24.7
Lake-Tapawingo-Missouri,156.9
Lake-View-Alabama,69.7
Lake-View-South-Carolina,292.1
Lake-Villa-Illinois,32.6
Lake-Village-Arkansas,610.4
Lake-Wales-Florida,174.5
Lake-Waukomis-Missouri,21.5
Lake-Winnebago-Missouri,17
Lake-Worth-Florida,486.2
Lake-Worth-Texas,351.5
Lake-Zurich-Illinois,72.5
Lake-in-the-Hills-Illinois,54.9
Lakefield-Minnesota,33.4
Lakehurst-New-Jersey,74
Lakeland-Florida,250
Lakeland-Georgia,419.3
Lakemoor-Illinois,27.5
Lakemore-Ohio,253.1
Lakeport-California,351.1
Lakeshire-Missouri,32.3
Lakeside-Texas,123.3
Lakeview-Arkansas,450.3
Lakeview-Michigan,196.6
Lakeview-Oregon,181.3
Lakeville-Massachusetts,80
Lakeville-Minnesota,67.2
Lakeway-Texas,57.7
Lakewood-California,196.2
Lakewood-Colorado,448.2
Lakewood-Illinois,29.7
Lakewood-New-Jersey,85.5
Lakewood-Ohio,98
Lakewood-Tennessee,195.6
Lakewood-Washington,411.8
Lamar-Arkansas,64.4
Lamar-Colorado,49
Lamar-Missouri,296.3
Lamar-Pennsylvania,1.6
Lamar-South-Carolina,468.5
Lambertville-New-Jersey,50.2
Lamesa-Texas,485.8
Lamont-Oklahoma,51.3
Lampasas-Texas,173.3
Lanagan-Missouri,45.7
Lanark-Illinois,83.4
Lancaster-California,359.8
Lancaster-Kentucky,154.1
Lancaster-Massachusetts,38
Lancaster-New-Hampshire,73.6
Lancaster-New-York,67.7
Lancaster-Ohio,286.8
Lancaster-Pennsylvania,12.7
Lancaster-South-Carolina,457.8
Lancaster-Texas,230.9
Lancaster-Wisconsin,127.8
Lander-Wyoming,147.5
Landis-North-Carolina,110.4
Landover-Hills-Maryland,469.2
Landrum-South-Carolina,187.2
Lane-South-Carolina,8.6
Lanett-Alabama,821.1
Langhorne-Manor-Pennsylvania,7.7
Langley-Oklahoma,218.7
Langley-Washington,118.9
Langston-Oklahoma,70
Lansdale-Pennsylvania,84.7
Lansdowne-Pennsylvania,165.2
Lansford-Pennsylvania,261.6
Lansing-Illinois,375.9
Lansing-Kansas,93.5
Lansing-Michigan,468.9
Lantana-Florida,401.4
Lapeer-Michigan,331.5
Laramie-Wyoming,112.8
Larchmont-New-York,76.8
Laredo-Texas,178.3
Largo-Florida,269.4
Larksville-Pennsylvania,32.1
Larned-Kansas,165
Las-Animas-Colorado,110.2
Las-Cruces-New-Mexico,333.3
Las-Vegas-Nevada,327.4
Las-Vegas-New-Mexico,434.4
Lathrop-Missouri,80.6
Lathrup-Village-Michigan,82
Latrobe-Pennsylvania,154.4
Latta-South-Carolina,705.7
Lauderdale-Lakes-Florida,380.8
Lauderdale-Minnesota,143.6
Lauderdale-by-the-Sea-Florida,168.1
Lauderhill-Florida,382.6
Laurel-Delaware,584.5
Laurel-Maryland,298.3
Laurel-Mississippi,438.3
Laurel-Montana,222.7
Laurel-Park-North-Carolina,43.1
Laurel-Springs-New-Jersey,79.6
Laureldale-Pennsylvania,84.9
Laurens-South-Carolina,487.2
Laurie-Missouri,210.1
Laurinburg-North-Carolina,583.3
Laurium-Michigan,50.2
Lavaca-Arkansas,253.2
Lavallette-New-Jersey,94.3
Lavon-Texas,48.2
Lavonia-Georgia,351.5
Lawndale-California,175
Lawnside-New-Jersey,199.7
Lawrence-Indiana,234.4
Lawrence-Kansas,303.8
Lawrence-Massachusetts,236.3
Lawrence-Park-Pennsylvania,29.6
Lawrence-Pennsylvania,209.7
Lawrence-Wisconsin,31.3
Lawrenceburg-Indiana,248
Lawrenceburg-Kentucky,75
Lawrenceburg-Tennessee,333.5
Lawrenceville-Georgia,224.6
Lawrenceville-Illinois,157.9
Lawrenceville-Pennsylvania,32.7
Lawrenceville-Virginia,67.5
Lawson-Missouri,269.2
Lawtey-Florida,146.8
Lawton-Michigan,211.2
Woodbine-New-Jersey,24
Woodbranch-Texas,26.5
Woodbridge-Connecticut,105.3
Woodbridge-New-Jersey,99.9
Woodburn-Oregon,295.7
Woodbury-Georgia,647.1
Woodbury-Heights-New-Jersey,94.6
Woodbury-Minnesota,117.5
Woodbury-New-Jersey,209
Woodbury-New-York,176.7
Woodbury-Tennessee,152.5
Woodcliff-Lake-New-Jersey,30.4
Woodfin-North-Carolina,141.7
Woodhaven-Michigan,83
Woodinville-Washington,117.6
Woodlake-California,164.8
Woodland-California,228.3
Woodland-North-Carolina,820.3
Woodland-Park-Colorado,109.8
Woodland-Park-New-Jersey,88
Woodland-Washington,255.7
Woodlawn-Ohio,177.2
Woodlynne-New-Jersey,181
Woodmere-Ohio,249.1
Woodridge-Illinois,88.2
Woodridge-New-York,234.5
Woodruff-South-Carolina,54.4
Woodruff-Wisconsin,69.3
Woods-Cross-Utah,216.2
Woodson-Terrace-Missouri,489.3
Woodstock-Alabama,188.8
Woodstock-Georgia,90.3
Woodstock-Illinois,80.8
Woodstock-New-Hampshire,38
Woodstock-New-York,38.6
Woodstock-Vermont,74.2
Woodstock-Virginia,180.9
Woodstown-New-Jersey,55.2
Woodville-Texas,86.4
Woodward-Oklahoma,204.1
Woodway-Texas,119.9
Woodway-Washington,33.8
Woonsocket-Rhode-Island,286.3
Wooster-Ohio,279.6
Worcester-Massachusetts,266.7
Worland-Wyoming,123.8
Worth-Illinois,182.5
Wortham-Texas,329
Worthington-Kentucky,13.3
Worthington-Minnesota,144.7
Worthington-Ohio,104.7
Wrangell-Alaska,87.2
Wray-Colorado,36
Wrens-Georgia,321.7
Wrentham-Massachusetts,82.9
Wright-City-Missouri,137.1
Wright-City-Oklahoma,92.4
Wrightsville-Beach-North-Carolina,582.4
Wrightsville-Pennsylvania,71.1
Wyandotte-Michigan,151
Wyandotte-Oklahoma,72.7
Wyanet-Illinois,68.9
Wyckoff-New-Jersey,35.3
Wylie-Texas,61.9
Wymore-Nebraska,64.9
Wynne-Arkansas,481.3
Wynnewood-Oklahoma,172.2
Wyoming-Delaware,128.4
Wyoming-Michigan,232.3
Wyoming-Minnesota,49.3
Wyoming-Ohio,65.7
Wyoming-Pennsylvania,182.2
Wyomissing-Pennsylvania,159.2
Wytheville-Virginia,154.8
Xenia-Ohio,225.2
Yadkinville-North-Carolina,280.3
Yakima-Washington,291.5
Yale-Michigan,155.7
Yale-Oklahoma,66.3
Yamhill-Oregon,80.9
Yanceyville-North-Carolina,309.6
Yankton-South-Dakota,331.5
Yardley-Pennsylvania,71.1
Yarmouth-Maine,41.9
Yarmouth-Massachusetts,179.4
Yarrow-Point-Washington,32.6
Yates-Center-Kansas,181.7
Yates-City-Illinois,24.5
Yazoo-City-Mississippi,460.4
Yeadon-Pennsylvania,367
Yellow-Springs-Ohio,162.1
Yelm-Washington,267.1
Yemassee-South-Carolina,737.9
Yerington-Nevada,138.1
Yoakum-Texas,204.8
Yonkers-New-York,142.6
Yorba-Linda-California,63.5
York-Alabama,216
York-Maine,70.5
York-Nebraska,208.8
York-New-York,32.9
York-Pennsylvania,461.4
York-South-Carolina,451.7
Yorktown-Texas,198.4
Yorkville-Illinois,107
Yorkville-New-York,79.2
Youngstown-New-York,6.4
Youngstown-Ohio,440
Youngsville-Louisiana,80.2
Youngsville-North-Carolina,144.3
Youngsville-Pennsylvania,128
Youngtown-Arizona,196
Yountville-California,96.1
Ypsilanti-Michigan,474.9
Yreka-California,229.6
Yuba-City-California,246.8
Yucaipa-California,170.2
Yucca-Valley-California,256.8
Yukon-Oklahoma,115.6
Yuma-Arizona,232.9
Yuma-Colorado,74.4
Zachary-Louisiana,261.1
Zanesville-Ohio,327.2
Zebulon-Georgia,29.8
Zebulon-North-Carolina,284.1
Zeeland-Michigan,159.5
Zeigler-Illinois,74.5
Zelienople-Pennsylvania,122
Zephyrhills-Florida,278.3
Zillah-Washington,153.2
Zilwaukee-Michigan,21.7
Zion-Illinois,351.9
Zionsville-Indiana,15.6
Zolfo-Springs-Florida,160.4
Zumbrota-Minnesota,86
Zwolle-Louisiana,49.4
Bunker-Hill-Illinois,57.9
Bunkie-Louisiana,193.1
Bunn-North-Carolina,281.2
Bunnell-Florida,459.3
Burbank-California,167.4
Burbank-Illinois,95.6
Burden-Kansas,182
Burgaw-North-Carolina,279.9
Burgettstown-Pennsylvania,140.9
Burien-Washington,300
Burkburnett-Texas,178.7
Burkeville-Virginia,99.5
Burleson-Texas,145.1
Burlingame-California,255.6
Burlington-Colorado,285.8
Burlington-Iowa,435.9
Burlington-Kansas,163.1
Burlington-Massachusetts,122
Burlington-New-Jersey,245.4
Burlington-North-Carolina,486.2
Burlington-North-Dakota,96.5
Burlington-Vermont,263
Burlington-Washington,407.6
Burlington-Wisconsin,45.1
Burnet-Texas,172.7
Burnettown-South-Carolina,50.5
Burnham-Illinois,287.7
Burns-Harbor-Indiana,142
Burns-Oregon,229.8
Burns-Tennessee,37.8
Burnside-Kentucky,106.1
Burnsville-Minnesota,172.1
Burnsville-North-Carolina,143.6
Burr-Oak-Michigan,136.9
Burr-Ridge-Illinois,89
Burrillville-Rhode-Island,51.4
Burrton-Kansas,38.5
Burton-Michigan,287.7
Burton-Ohio,19.3
Bushnell-Florida,355
Butler-Alabama,257
Butler-Georgia,114.3
Butler-Missouri,346.8
Butler-New-Jersey,18
Butler-Ohio,348.9
Butler-Pennsylvania,165.9
Butler-Wisconsin,192.6
Butner-North-Carolina,186.2
Buxton-Maine,71.9
Byesville-Ohio,37.1
Byhalia-Mississippi,494
Byram-Mississippi,169.5
Byrnes-Mill-Missouri,63
Byron-Georgia,149.7
Byron-Illinois,56.1
Cabool-Missouri,166.9
Cabot-Arkansas,232.6
Cache-Oklahoma,306
Cactus-Texas,266.8
Caddo-Mills-Texas,4.4
Caddo-Oklahoma,28.4
Caddo-Valley-Arkansas,391.2
Cadillac-Michigan,347.8
Fayetteville-West-Virginia,131
Federal-Heights-Colorado,434.3
Federal-Way-Washington,321.5
Federalsburg-Maryland,352.6
Felicity-Ohio,315.2
Fellsmere-Florida,88
Felton-Delaware,122.5
Fennimore-Wisconsin,217.4
Fennville-Michigan,8.4
Fenton-Michigan,146.3
Fenwick-Island-Delaware,389.4
Fergus-Falls-Minnesota,310.5
Ferguson-Kentucky,57.1
Ferguson-Missouri,457.5
Fernandina-Beach-Florida,126.1
Ferndale-California,148.2
Ferndale-Michigan,168.2
Ferndale-Pennsylvania,2.7
Ferndale-Washington,131.9
Ferriday-Louisiana,211
Ferris-Texas,173.2
Fessenden-North-Dakota,18.1
Festus-Missouri,188.2
Fieldsboro-New-Jersey,14.8
Fife-Washington,599.5
