City,State,Population over 16 Years,Labor Force,Civilian Labor Force,Employed,Unemployed,Armed Forces,Not In Labor Force,Female Population,Female Labor Force,Female Civilian Labor Force,Female Employed,Have Children Under 6 Years,Have Children Under 6 Years And All Parents in Labor Force,Have Children Between 6 And 17 Years,Have Children Between 6 And 17 Years And All Parents In Labor Force,DP03_0018E,Commute Via Personal Vehicle,Commute Via Carpool,Commute Via Public Transportation,Commute Via Foot,Commute Via Other Means,Worked From Home,Mean Travel Time In Minutes,DP03_0026E,Occupation Management Business Science and Arts,Occupation Service,Occupation Sales and Office,Occupation Natural Resources Construction And Maintenance,Occupation Production Transportation and Material Moving,DP03_0032E,Industry Agriculture Forestry Fishing Hunting And Mining,Industry Construction,Industry Manufacturing,Industry Wholesale,Industry Retail,Industry Transportation Warehousing and Utilities,Industry Information,Industry Finance Insurance Real Estate Rental and Leasing,Industry Professional Scientific Management Administrative and Waste,Industry Educational Health Care And Social Assistance,Industry Arts Entertainment Recreation Accomodation And Food Services,Industry Other Services,Industry Public Administration,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,Total Households,Total Household Income Less than $10K,Total Household Income $10K-$15K,Total Household Income $15K-$25K,Total Household Income $25K-$35K,Total Household Income $35K-$50K,Total Household Income $50K-$75K,Total Household Income $75K-$100K,Total Household Income $100K-$150K,Total Household Income $150K-$200K,Total Household Income $200K Or More,Median Household Income,Mean Household Income,With Earnings,Mean Earnings,With Social Security,Mean Social Security Income,With Retirement Earnings,Mean Retirements Income,With Supplemental Income,Mean Supplemental Income,With Cash Public Assistance,Mean Cash Public Assistance Income,With Food Stamp/SNAP Benefits In The Past 12 Months,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,Median Family Income,Mean Family Income,Per Capita Income,DP03_0089E,Median Nonfamily Income,Mean Nonfamily Income,Median Earnings for Workers,Median Earnings for Full Time Males,Median Earnings for Full Time Females,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E
Albuquerque,NM,739261,460346,456570,432540,24030,3776,278915,380519,220314,219531,208113,55979,38625,126943,91931,429919,352686,35738,7150,6483,8329,19533,24.4,432540,183167,82829,91295,34115,41134,432540,5882,28813,19398,10518,45089,18837,6951,24498,56561,115351,44065,25633,30944,432540,313126,97647,21037,730,354359,25766,17326,32363,31975,43807,65588,47534,49251,20045,20704,58512,79305,270611,77710,119501,18573,90893,30063,20014,9633,12077,2012,52373,219308,9674,7203,16283,16936,26284,40642,32577,35945,16587,17177,69379,91239,32112,135051,39044,55346,32213,49238,41084,904580,830242,544991,418550,74338,208979,8430,538851,415752,395589,350256,292485,78818,45333,20163,16793,5749,12007,3370,123099,106684,50738,66696,16415
Alexandria,LA,120165,67633,66890,64379,2511,743,52532,61772,34205,33887,32516,11792,8525,22221,15381,64234,50692,5800,1654,815,3503,1770,27.9,64379,20152,16806,11733,8069,7619,64379,2409,5982,2875,1590,6814,3956,439,3354,4688,16157,7207,2852,6056,64379,44614,15221,4436,108,55591,4148,2850,6785,5160,8395,12530,5202,6898,2067,1556,50553,67321,40540,66180,19627,16806,13398,24876,3974,9931,582,2141,9965,37382,2207,945,3694,2445,6183,9380,3812,5838,1589,1289,57392,74815,26715,18209,29854,48206,30808,49629,33550,145926,131232,80241,74246,14694,40276,1925,81552,59610,57569,48447,38046,13867,9122,2041,1570,478,1297,471,21942,19099,9389,12727,2843
Allentown,PA,689845,440627,440331,419565,20766,296,249218,354655,212824,212715,203913,51071,37128,115896,88463,412777,339185,33846,6192,8566,7114,17874,28.7,419565,155238,74159,85917,34003,70248,419565,3171,23210,52367,13565,42939,34938,6890,21561,40067,111682,36878,18623,13674,419565,357178,44242,17902,243,322301,13690,10503,23473,26991,38436,56564,46756,58618,24246,23024,70793,90785,244408,91362,117489,21227,97817,25158,16196,10270,10557,2073,37817,216479,5498,2939,10076,13834,23587,37740,33310,47856,21415,20224,84841,105122,35370,105822,40664,57485,36459,56332,42235,834329,792339,607494,303761,41990,188410,3823,495569,396430,378529,352414,323120,36596,26115,17901,14201,8173,6155,3700,99139,91032,53659,45697,8107
Altoona,PA,100095,60834,60803,58519,2284,31,39261,51692,28613,28613,27646,7347,5329,16094,11972,57472,48213,4419,398,1989,337,2116,20.8,58519,20643,9739,11771,6495,9871,58519,491,5125,5383,1297,7334,4675,611,1830,4527,18019,5320,2358,1549,58519,48104,7593,2758,64,52497,3412,2507,5257,6153,8358,9162,6612,6914,2654,1468,51004,69143,36743,72374,19673,20060,15519,21491,3834,12536,2053,860,9461,34637,1327,1186,2441,3182,5165,6400,5215,6111,2355,1255,65157,80697,29796,17860,29644,42377,32072,46973,39843,120337,113534,80485,54314,6803,26725,1172,69060,54817,52672,48414,42804,7827,4258,2145,1787,586,1256,358,14243,13409,6072,8854,834
Amarillo,TX,207705,131301,130784,126633,4151,517,76404,104042,60867,60780,58856,18843,11776,45822,31698,126519,106486,12089,106,1588,2275,3975,21.1,126633,40005,23551,28880,13874,20323,126633,3327,11895,15726,3812,14953,7829,1306,6854,8805,29274,9776,6001,7075,126633,98963,20918,6140,612,98606,6680,4128,11571,11528,12482,16183,11009,15989,4931,4105,53510,73232,77723,74661,27294,18687,19690,24480,3596,11566,1138,3021,8819,64152,3031,1756,4587,5608,7094,12148,8626,12889,4603,3810,69441,88384,28233,34454,30937,41508,31625,48150,35900,261527,221865,174506,72154,39662,72483,8554,150428,119741,116113,94246,91684,5424,21867,3628,1535,1264,551,2093,30687,23851,15723,9449,6836
Ames,IA,104687,68044,67823,65063,2760,221,36643,49708,31681,31675,30093,7141,5148,12754,10467,63503,49352,5105,3721,2123,484,2718,19.6,65063,29091,10430,12887,5720,6935,65063,2334,3251,5812,1823,6179,3458,1770,4109,5718,21025,4889,1718,2977,65063,45015,17827,2221,0,50253,3485,2666,3881,3959,7274,8811,6729,8019,2840,2589,62181,79567,41031,75050,13204,20676,12067,21191,728,13850,333,1489,3346,27086,349,219,1609,815,2484,4608,4977,6864,2706,2455,92145,109632,32402,23167,35343,43334,27714,54299,44764,122370,114758,100772,29142,7612,25048,361,80469,61435,59551,54000,50635,4159,5551,1884,1308,930,378,576,19034,17928,15783,2668,1106
Anchorage,AK,308427,209291,200043,188676,11367,9248,99136,151438,95338,93843,88096,31181,18905,61392,42401,194245,151971,21467,1790,3290,7653,8074,23.1,188676,74721,33194,38716,19057,22988,188676,5421,13331,5722,4714,21577,17053,3604,8860,20699,45892,16336,10571,14896,188676,141627,36659,10018,372,137934,5524,3812,7362,9178,13772,24630,18538,27353,14220,13545,80676,105027,114632,97861,30608,18403,32131,43665,6303,12892,7628,3082,12861,88561,1623,1803,2494,4512,7188,14916,11579,20504,12445,11497,100352,123888,38842,49373,52535,66345,41825,60457,51041,382857,338951,261227,129125,43906,103605,9654,233944,182580,172779,149693,134433,23800,23086,9801,6899,3541,4610,2902,51364,43628,28968,19880,7736
Ann Arbor,MI,307754,199933,199832,193750,6082,101,107821,156324,96473,96372,93392,20830,15698,44141,32405,189537,140850,14192,8496,11426,3322,11251,24.4,193750,109950,27511,30139,7840,18310,193750,670,6847,23267,2254,15900,5494,3462,7962,22517,73988,19349,8319,3721,193750,144017,39676,9854,203,141680,8031,5499,7933,10304,13092,24674,18709,23603,12209,17626,76576,107685,116770,103949,34901,24385,33903,33880,6409,9158,1439,2279,8482,81351,2039,1475,2234,3114,5925,12510,10983,17180,10321,15570,105960,140586,43714,60329,47835,61020,35413,61901,53305,362451,349079,296400,98981,13372,78020,1401,232373,182050,176783,167438,156979,14286,9345,5267,4648,2684,2042,619,50323,48361,38442,13506,1962
Anniston,AL,92308,51001,49395,45641,3754,1606,41307,48819,23843,23513,21998,7388,4342,14919,10971,46169,39054,5069,581,423,286,756,22.3,45641,12876,8299,10785,3939,9742,45641,1012,2022,7044,1107,6165,2740,630,1923,3555,8881,4813,2231,3518,45641,34518,9241,1882,0,44636,4307,3273,3768,5842,5696,8345,5439,5758,1229,979,48156,61137,31064,61971,17608,18115,14015,23325,2923,8527,220,1726,7200,28975,2053,586,2015,3171,3417,6533,3723,5269,1229,979,61918,75168,24579,15661,26143,32609,28581,46732,35578,111075,98796,73307,43304,12279,25187,907,65743,44939,42227,36595,34854,2625,5632,2712,990,851,492,1722,20804,16877,10472,8472,3927
Appleton,WI,188713,132351,132083,128565,3518,268,56362,95454,62988,62988,61813,17143,12530,36292,29315,127574,110074,7172,810,2329,1339,5850,21.6,128565,46783,18704,28041,11523,23514,128565,2128,10233,28436,4125,14937,4731,1571,8960,10382,25458,7609,5611,4384,128565,108996,13057,6192,320,94937,2573,3051,7567,7742,11406,20101,14500,17487,6342,4168,68335,83618,75327,85283,27523,20706,23345,21796,3140,10418,860,1462,5548,61085,894,788,2351,3503,4733,12691,11309,15539,5330,3947,86284,101609,33905,33852,41003,47874,40047,54498,41116,236197,222063,181515,65635,14134,58866,3416,141926,121305,118480,111494,105031,8787,6986,2825,1791,1323,686,1034,20621,17923,12135,7264,2698
Arecibo,PR,147997,64316,64093,55862,8231,223,83681,78164,30079,30079,25125,7122,4892,23481,15150,54487,49740,2460,263,540,0,1484,27.5,55862,13584,13027,15032,6417,7802,55862,1038,3538,7258,790,8094,1530,199,1326,4475,11319,6044,3615,6636,55862,35830,13177,6855,0,65208,17701,7719,13823,10559,7220,5259,1999,429,233,266,19163,26355,33408,30905,28534,12850,14381,15733,80,-999999999,1943,2902,32810,45152,7982,4961,10350,8393,6377,4344,1940,429,110,266,24169,30898,10861,20056,9749,14075,15576,20342,20508,173773,160123,55702,111705,13650,34546,1820,101544,61278,53356,45951,28154,18295,7405,7922,6561,1213,5460,1361,40266,37566,9313,29417,2700
Asheville,NC,388709,228076,227518,222916,4602,558,160633,204188,109286,109060,106844,25445,16098,52908,40319,220490,174648,17117,1145,3662,3183,20735,22.1,222916,87013,45117,42912,23274,24600,222916,2015,19553,23113,3923,24152,7885,2354,12671,21922,52451,34514,10254,8109,222916,174975,28784,18071,1086,193451,7813,9405,22266,19932,25572,37635,27106,24838,10079,8805,57428,75357,137552,71493,77260,20588,57714,28044,8543,9241,2629,2424,14696,120368,2781,3430,9444,8963,12919,26249,20661,20105,8767,7049,72194,89242,32422,73083,34527,49175,32077,42603,39293,456939,401326,299713,169200,55613,89818,6691,263254,202394,198782,161980,155098,10510,36802,3612,1945,1098,1042,1667,60860,50475,30612,24337,10385
Ashtabula,OH,78280,45209,45209,43253,1956,0,33071,38819,22269,22269,21452,6013,2652,12864,7817,41889,34120,4864,0,781,1184,940,22.5,43253,11609,10447,7327,4531,9339,43253,1195,2747,9044,635,3311,2008,434,2048,2100,10389,4653,2497,2192,43253,36003,4579,2550,121,39490,2981,2041,5320,5642,4827,8129,4401,3935,1346,868,44580,65566,27915,63377,14439,19366,11208,20981,2708,10058,1177,5463,8007,25007,1411,1264,2625,2259,2942,6187,3335,2939,1177,868,58802,79112,27416,14483,28314,35668,28534,43326,31065,94475,84963,51659,45828,9512,22391,2894,53842,41249,39351,33965,28168,6778,5386,1898,1582,514,1068,316,12593,11677,4340,8031,916
Athens,OH,56662,31462,31442,28943,2499,20,25200,28863,15156,15156,14165,2869,1429,5912,3992,28500,19468,1911,486,4832,730,1073,22.7,28943,11868,6721,5184,2259,2911,28943,254,1809,2152,603,2831,882,137,756,1777,11053,4978,1032,679,28943,18770,8233,1868,72,22659,2422,1755,2343,3005,2684,3745,2262,2903,1037,503,41851,62186,15890,66156,5743,17652,5144,29442,1535,10601,333,342,3461,13715,630,240,1008,1608,1815,2553,1883,2446,1029,503,66601,81685,23375,8944,19550,28712,18952,43920,39649,64644,61299,45226,21907,3345,14357,334,41673,27683,26077,24275,21945,2786,1802,1606,1314,762,552,292,13990,13206,8670,4896,784
Athens,TX,68000,36650,36650,34558,2092,0,31350,35277,16375,16375,15480,4107,2608,11409,7333,34331,28956,4009,302,112,253,699,32.2,34558,10790,8075,5690,4342,5661,34558,1952,3911,3246,1759,4310,1647,46,1661,2895,6677,2087,1556,2811,34558,24098,5585,4804,71,30607,2953,1301,3934,3075,3608,6385,4070,3033,849,1399,51521,69813,20786,64764,13686,19331,8367,34037,2221,10023,535,-999999999,4016,20885,1064,603,2530,1714,2611,4345,3192,2847,829,1150,58259,78823,27904,9722,29159,48049,29221,39478,33651,81766,65369,43787,34663,16397,17974,2552,44847,31957,29886,21353,20185,1768,8533,2071,237,212,212,1834,12890,9585,4973,5944,3305
Baton Rouge,LA,679750,422760,422328,399942,22386,432,256990,353288,205452,205437,197261,60337,46987,127057,101737,393338,336024,31560,2849,6671,2285,13949,27.2,399942,149762,67595,86411,44616,51558,399942,7971,39137,40611,10847,45258,17320,6778,21008,36364,99061,37757,14638,23192,399942,310270,67563,21680,429,305441,26186,14412,25646,28017,33494,50893,38031,49137,19942,19683,60746,83103,235052,84546,86671,18281,76998,27466,12409,9421,2769,1536,35246,195070,8646,4438,14380,13501,19600,32384,29333,38850,17340,16598,79297,97929,31571,110371,34855,54425,35523,60658,40842,838641,759804,534074,312802,78837,213429,12841,502984,386399,367332,325251,293820,39703,42081,19067,11913,3574,8553,7154,116585,101008,52056,57469,15577
Battle Creek,MI,108281,66207,66138,62429,3709,69,42074,55946,32979,32979,31627,9398,7733,19361,14830,61243,50279,5676,991,1816,471,2010,20.9,62429,18652,12862,11290,5424,14201,62429,999,3717,12731,1015,6601,1984,905,2340,4064,14587,9418,2290,1778,62429,53092,6797,2508,32,53827,3068,2461,5730,7280,8768,8889,6652,6929,2014,2036,49055,68474,39087,70229,19861,19594,15113,26194,2376,9179,881,1085,5431,32950,924,477,2689,3622,4821,5654,5196,5945,1830,1792,66013,82746,28175,20877,30238,41546,31285,45978,36157,132529,124524,94093,51203,8005,31979,1360,76635,59772,56132,51611,47217,5886,4521,3640,2876,1348,1838,764,16863,15564,8681,8752,1299
Athens,GA,174296,107629,107528,102169,5359,101,66667,91543,51240,51182,48115,13335,9364,27923,22331,98521,74305,8920,2643,3740,1801,7112,22.7,102169,42182,19106,20738,6260,13883,102169,985,4828,7495,2649,10569,3461,1248,4959,11595,31720,14200,4472,3988,102169,72689,24420,4817,243,82655,7121,4799,10533,7485,10498,14086,9035,10563,3850,4685,50962,77492,66268,72112,21913,19533,18662,36267,4142,10363,1413,2026,8208,47307,1972,2037,4131,2712,5201,7907,6719,8843,3641,4144,74045,102929,29523,35348,31121,40506,25388,45005,34430,211415,184829,145155,61926,26586,48939,3240,134971,99302,94903,79005,74059,6947,15898,4399,2854,1846,1008,1545,35669,29898,23121,9153,5771
Atlanta,GA,4733233,3173471,3168994,3033891,135103,4477,1559762,2479391,1541703,1540826,1476888,431710,290095,938459,684204,2978627,2271914,265396,83142,37524,57426,263225,32.5,3033891,1331276,443327,631016,230421,397851,3033891,9115,199842,265364,97380,316482,230897,86943,222920,481126,593546,270472,146429,113375,3033891,2501616,371434,155678,5163,2189294,106847,66963,147572,164665,256885,397470,288815,368790,177839,213448,71742,99456,1818619,99309,556778,19948,457936,29970,94824,10012,28899,2945,199618,1455896,40009,24547,72349,91143,147255,256604,200742,289906,148432,184909,86101,115776,37331,733398,46388,63163,39461,54048,45258,5969625,5202026,4129230,1613595,767599,1535161,117179,3682546,2942778,2824496,2403537,2319810,138609,420959,118282,67766,51933,20097,50516,739768,569025,410066,207075,170743
Atlantic City,NJ,213571,136894,136718,128756,7962,176,76677,110810,66955,66955,63299,15753,11458,36481,28259,126439,100267,9897,4174,5923,1802,4376,26.1,128756,43223,34641,26252,12480,12160,128756,292,9480,6203,2610,13077,6752,1538,5384,10984,31651,28982,5414,6389,128756,104341,18867,5400,148,101975,6583,3796,9079,8371,13289,17161,12211,16475,7679,7331,63389,93192,74859,96428,40713,20073,28561,26041,5133,10394,1912,1851,11322,66258,2901,857,4028,5080,7757,12112,8500,13031,6225,5767,75722,107304,36298,35717,40755,63411,34310,50804,42462,261340,238684,167592,106540,22656,58377,1691,155057,124527,117478,103788,94311,12416,13690,7049,4748,1718,3136,2301,30530,26422,12684,15600,4108
Auburn,NY,63241,38152,37992,36929,1063,160,25089,30822,17385,17385,17100,4321,2702,8965,6798,36333,30092,2391,312,866,885,1787,24.3,36929,12069,8451,7295,3870,5244,36929,1234,3209,4002,827,3585,2373,418,1068,2610,9259,3136,2183,3025,36929,27707,6590,2607,25,31489,1852,1102,2910,2456,4801,6187,4474,4341,2320,1046,58665,78177,23487,77923,11634,19180,9461,26363,2735,9825,953,4933,4972,19199,386,567,1378,1188,2243,3671,4024,3509,1494,739,75578,90619,32099,12290,39353,53840,36208,56316,43815,73021,70120,48330,33065,2901,15593,300,42879,33717,32804,30757,26105,5321,2047,913,842,213,629,71,9162,8760,3761,5619,402
Auburn,AL,133615,85113,84960,81858,3102,153,48502,68759,38564,38564,36871,11369,7168,21343,12349,80837,65816,8158,411,2669,738,3045,24,81858,38197,15045,13255,6402,8959,81858,693,4991,9394,1697,8534,1971,915,6603,8237,27104,5754,2704,3261,81858,59156,19193,3328,181,64448,7241,4051,7518,4042,7852,11558,6347,8389,3682,3768,53712,78000,52250,71176,17672,19750,13687,29308,1686,8773,216,-999999999,5155,37809,1363,493,2955,2105,4156,6545,6193,7405,3123,3471,80982,103361,31454,26639,22163,40965,30004,51823,41885,163952,152329,124843,45486,11623,38861,733,104510,76879,74152,67866,65851,4415,6286,2727,1907,1662,522,820,27631,23847,18211,6787,3784
Augusta,GA,485716,291798,281756,266222,15534,10042,193918,253624,141915,139632,132031,37756,27713,92418,64203,273085,226221,22552,2051,2398,9216,10647,25.3,266222,95303,51724,54678,26440,38077,266222,3302,17361,34654,4412,28046,17917,3050,9651,33528,60315,30283,9597,14106,266222,205365,47744,12597,516,211969,12826,11721,21983,19909,29327,38879,27617,28918,10322,10467,55143,74359,156146,73715,77856,19603,60120,25805,11848,9041,2786,2852,25072,139364,6010,3323,10875,10923,18512,28993,20176,22157,9176,9219,66414,86038,28711,72605,32341,48535,31582,46512,37174,591932,530672,389324,222013,61260,151240,6645,344622,256193,242270,207219,193910,23361,35051,13923,8465,4777,4234,5458,88429,74592,43982,39068,13837
