City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
Michigan City,IN,109888,57617,52271,110.2,6063,6623,6018,6704,7188,13758,13416,14599,6993,8838,11677,6354,1657,41.1,23401,86487,83029,25778,19688,44662,41825,106.8,8816,10872,81.1,105859,4029,91110,12032,318,-999999999,-999999999,-999999999,-999999999,737,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44,-999999999,-999999999,-999999999,-999999999,1618,2210,405,258,0,7581,4934,1289,0,1358,85320,43970,41350
Midland,MI,83156,40885,42271,96.7,4504,4634,5814,5377,4246,10131,10533,10660,5577,6211,8480,5043,1946,41.3,18143,65013,62175,18762,15469,31502,33511,94,6948,8521,81.5,81539,1617,77214,1125,413,-999999999,-999999999,-999999999,-999999999,1964,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,823,794,365,451,0,2434,-999999999,-999999999,-999999999,-999999999,63744,30986,32758
Midland,TX,182782,92726,90056,103,17263,14974,13524,12794,10530,31370,26905,17017,10689,8976,10275,4411,4054,32,53067,129715,122865,23544,18740,65570,64145,102.2,7939,10801,73.5,176150,6632,130394,11602,1378,-999999999,-999999999,-999999999,-999999999,2881,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,95,-999999999,-999999999,-999999999,-999999999,29800,1776,1118,1080,0,84097,76055,460,3978,3604,116731,58772,57959
Milwaukee,WI,1575179,768530,806649,95.3,96111,97399,104320,101996,97648,221244,198819,192702,112582,98674,147451,71371,34862,38.2,359574,1215605,1153904,313035,253684,585339,630266,92.9,111058,142626,77.9,1528543,46636,1139070,258304,6954,-999999999,-999999999,-999999999,-999999999,60206,16464,7544,3904,1001,2436,1646,27211,632,-999999999,-999999999,-999999999,-999999999,63377,19702,5798,9163,869,174755,116629,40838,2271,15017,1155701,555511,600190
Minneapolis. Paul,MN,3640043,1804016,1836027,98.3,230331,235556,245572,231950,213726,530198,498915,452787,251057,223988,313427,150978,61558,37.4,854445,2785598,2657392,656539,525963,1368753,1416845,96.6,235160,290803,80.9,3503255,136788,2832657,318361,18011,102,8719,0,2011,251958,46628,22891,11453,2698,12311,23143,132834,1187,607,86,232,262,81081,49203,24429,30725,2448,218594,139830,13228,4291,61245,2646119,1295856,1350263
Minot,ND,74938,38693,36245,106.8,4815,5057,4863,4147,7484,12942,9314,7159,4373,4344,5863,3235,1342,33,17202,57736,54438,12579,10440,29831,27905,106.9,4764,5676,83.9,70329,4609,65248,2381,647,-999999999,-999999999,-999999999,-999999999,1193,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,198,-999999999,-999999999,-999999999,-999999999,662,1618,1608,452,260,4420,-999999999,-999999999,-999999999,-999999999,54901,28598,26303
Missoula,MT,119600,58635,60965,96.2,5333,5321,8132,7664,11354,18717,16379,12681,7385,7116,12358,5016,2144,37.3,22386,97214,90862,24016,19518,47919,49295,97.2,8968,10550,85,115327,4273,109724,968,1890,-999999999,-999999999,-999999999,-999999999,2390,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,355,249,2873,689,0,4094,-999999999,-999999999,-999999999,-999999999,96101,47408,48693
Mobile,AL,428039,203234,224805,90.4,28928,25766,28335,27611,26610,60056,50279,52340,27866,29702,42021,21073,7452,38.7,100028,328011,312411,88237,70546,153051,174960,87.5,30844,39702,77.7,418562,9477,250623,153037,3539,-999999999,-999999999,-999999999,-999999999,7798,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61,-999999999,-999999999,-999999999,-999999999,3504,3625,2706,2279,0,12520,6779,2924,545,2272,323391,150282,173109
Modesto,CA,550660,271489,279171,97.2,39398,39025,44113,41035,37510,78774,70383,63577,33296,29954,42684,23112,7799,34.5,147773,402887,377448,90183,73595,196759,206128,95.5,32281,41314,78.1,528305,22355,442681,16542,4230,-999999999,-999999999,-999999999,-999999999,32487,10636,2564,7563,357,1417,2246,7704,3363,-999999999,-999999999,-999999999,-999999999,29002,2400,4069,4350,0,262068,244169,4773,451,12675,348773,169094,179679
Monroe,LA,200261,96645,103616,93.3,13174,13775,13506,13348,13235,25435,25137,23203,12974,12371,19716,11230,3157,39.1,48621,151640,143773,42455,34103,70808,80832,87.6,15126,18977,79.7,197387,2874,114342,76312,614,-999999999,-999999999,-999999999,-999999999,1617,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44,-999999999,-999999999,-999999999,-999999999,4458,642,451,964,0,4279,-999999999,-999999999,-999999999,-999999999,149965,70107,79858
Monroe,MI,150500,74125,76375,97.1,8194,8325,9523,8664,8731,17660,17673,20269,11486,11598,17052,8781,2544,43,31602,118898,114045,35927,28377,58054,60844,95.4,12668,15709,80.6,146233,4267,141315,3215,618,-999999999,-999999999,-999999999,-999999999,595,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,490,2266,693,820,0,5641,-999999999,-999999999,-999999999,-999999999,117832,57674,60158
Montgomery,AL,372809,179203,193606,92.6,22538,24834,23225,24610,24568,53232,46669,46141,22244,25014,35495,18690,5549,38.2,85326,287483,274569,74179,59734,133150,154333,86.3,24858,34876,71.3,366967,5842,185189,167704,1077,-999999999,-999999999,-999999999,-999999999,8619,607,423,987,796,4750,62,994,0,-999999999,-999999999,-999999999,-999999999,4378,3134,437,983,201,12661,8053,1455,128,3025,280078,129250,150828
Morehead City,NC,69473,33185,36288,91.4,2737,3326,3303,4491,3162,6321,7298,9204,5018,6747,10820,5234,1812,50,11777,57696,54602,21955,17866,27460,30236,90.8,8229,9637,85.4,67453,2020,62595,3431,301,-999999999,-999999999,-999999999,-999999999,593,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,533,696,341,568,96,3067,-999999999,-999999999,-999999999,-999999999,56912,27050,29862
Mount Vernon,WA,129205,62963,66242,95,7474,7417,8436,7465,6441,16558,15537,14299,8061,9600,16624,8973,2320,41.6,27778,101427,96726,33722,27917,49525,51902,95.4,12951,14966,86.5,124583,4622,106748,1297,3989,-999999999,-999999999,-999999999,-999999999,2589,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,93,-999999999,-999999999,-999999999,-999999999,9867,737,1501,1319,25,24050,20774,1002,232,2042,94232,45637,48595
Muncie,IN,114135,55356,58779,94.2,5357,5834,5164,11028,15021,12949,10993,13198,6517,7769,11040,6720,2545,36.6,20370,93765,83447,25174,20305,44587,49178,90.7,8941,11364,78.7,110374,3761,101399,7186,114,-999999999,-999999999,-999999999,-999999999,1504,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,171,-999999999,-999999999,-999999999,-999999999,3004,-999999999,-999999999,-999999999,-999999999,92979,44136,48843
Muskegon,MI,173566,85384,88182,96.8,9978,12696,9964,11232,10751,22270,20035,21550,11831,12868,18137,8596,3658,39.1,39258,134308,127516,38727,30391,65817,68491,96.1,13548,16843,80.4,167372,6194,140494,23136,1513,-999999999,-999999999,-999999999,-999999999,772,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65,-999999999,-999999999,-999999999,-999999999,1392,3267,1260,909,62,10078,-999999999,-999999999,-999999999,-999999999,132856,65274,67582
Muskogee,OK,67997,33469,34528,96.9,4280,5359,4232,4569,4035,8885,8638,7680,3660,5084,6935,3311,1329,38.3,16604,51393,48948,14290,11575,24681,26712,92.4,5033,6542,76.9,60674,7323,39099,7180,11933,-999999999,-999999999,-999999999,-999999999,369,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,2093,660,5418,117,497,4472,-999999999,-999999999,-999999999,-999999999,50480,23977,26503
Myrtle Beach,SC,496901,239324,257577,92.9,20826,24132,24487,24710,21969,54302,53046,55672,37630,44904,89210,37521,8492,49.7,83556,413345,396956,163731,135223,196315,217030,90.5,64189,71034,90.4,482947,13954,410372,55495,1600,-999999999,-999999999,-999999999,-999999999,6366,1784,1213,958,244,444,1443,280,15,-999999999,-999999999,-999999999,-999999999,9099,5817,2929,1023,887,28633,16308,2253,1007,9065,397092,186799,210293
Nacogdoches,TX,65204,31946,33258,96.1,4349,3799,4407,6693,6971,8211,7123,6453,3482,4055,5690,2906,1065,31.5,15000,50204,44110,12445,9661,23992,26212,91.5,4410,5251,84,64989,215,50606,12592,860,-999999999,-999999999,-999999999,-999999999,736,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,195,-999999999,-999999999,-999999999,-999999999,13046,-999999999,-999999999,-999999999,-999999999,47208,22527,24681
Napa,CA,137744,68568,69176,99.1,6537,6713,9335,8909,8584,17125,16887,17547,10272,8809,15982,7619,3425,41.6,27923,109821,104667,32084,27026,54071,55750,97,12363,14663,84.3,131936,5808,101380,3314,815,-999999999,-999999999,-999999999,-999999999,11552,2079,973,6553,541,315,539,552,271,-999999999,-999999999,-999999999,-999999999,14604,477,881,2035,56,47661,40614,592,196,6259,96519,48047,48472
Naples,FL,384902,189713,195189,97.2,15984,16641,20646,19766,18654,34396,36537,43305,25772,26674,60368,49220,16939,51.8,65038,319864,308834,140188,126527,156443,163421,95.7,60099,66428,90.5,379945,4957,341750,26105,322,-999999999,-999999999,-999999999,-999999999,6029,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,5739,2027,966,678,318,109937,37126,5651,30194,36966,274748,134493,140255
Nashville,TN,1933860,946073,987787,95.8,119791,118129,132111,125965,125320,297858,267899,247233,126399,110499,162467,77001,23188,36.7,442175,1491685,1411250,322952,262656,718524,773161,92.9,114455,148201,77.2,1884967,48893,1483052,294629,4766,-999999999,-999999999,-999999999,-999999999,57245,14714,8855,4107,1499,4539,3322,20209,1243,-999999999,-999999999,-999999999,-999999999,44032,23434,6863,10118,424,146971,90166,8273,4726,43806,1404148,673856,730292
Morgantown,WV,139044,71074,67970,104.6,7232,6694,5902,10848,16766,21455,18058,14927,7186,8742,13114,5426,2694,35.3,23659,115385,104405,26258,21234,58943,56442,104.4,9600,11634,82.5,136037,3007,125607,5740,74,-999999999,-999999999,-999999999,-999999999,3502,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15,-999999999,-999999999,-999999999,-999999999,1099,-999999999,-999999999,-999999999,-999999999,2864,-999999999,-999999999,-999999999,-999999999,111801,57085,54716
Morristown,TN,142749,70717,72032,98.2,6753,9362,7192,9278,9791,15515,15437,20932,10216,10705,16138,9341,2089,43.9,29023,113726,107852,34600,27568,56289,57437,98,12355,15213,81.2,138637,4112,133211,2751,485,-999999999,-999999999,-999999999,-999999999,1206,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,159,-999999999,-999999999,-999999999,-999999999,825,1127,698,622,0,10679,-999999999,-999999999,-999999999,-999999999,109256,53747,55509
Moses Lake,WA,97733,48784,48949,99.7,7447,9230,7384,7924,5583,13459,11788,10492,5209,5789,7740,3849,1839,33.3,28817,68916,63787,17160,13428,35366,33550,105.4,6651,6777,98.1,94196,3537,67429,180,1729,-999999999,-999999999,-999999999,-999999999,743,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,24115,118,1098,627,0,41236,-999999999,-999999999,-999999999,-999999999,57139,28906,28233
Mount Airy,NC,71783,35299,36484,96.8,3510,4071,4389,4826,3782,8136,7659,9975,5172,4961,8947,4644,1711,44.3,14827,56956,54375,18043,15302,27583,29373,93.9,6913,8389,82.4,70123,1660,65624,1731,859,-999999999,-999999999,-999999999,-999999999,428,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1481,18,1224,114,79,7963,-999999999,-999999999,-999999999,-999999999,53903,25862,28041
Mount Pleasant,MI,69872,33942,35930,94.5,3174,3303,3515,7683,12211,9127,6870,7189,4208,3296,5488,2612,1196,29.5,12122,57750,48040,11444,9296,27739,30011,92.4,4260,5036,84.6,67482,2390,61646,2098,2292,-999999999,-999999999,-999999999,-999999999,1275,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,171,635,958,313,149,2889,-999999999,-999999999,-999999999,-999999999,56718,27347,29371
New Bern,NC,127904,64084,63820,100.4,7830,7180,7850,6601,11429,15752,13708,14292,8070,8933,16738,6828,2693,40.1,26531,101373,96144,32507,26259,50989,50384,101.2,12130,14129,85.9,124733,3171,92425,27831,855,-999999999,-999999999,-999999999,-999999999,2345,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63,-999999999,-999999999,-999999999,-999999999,1214,713,161,924,203,8589,5470,1325,78,1716,98070,49415,48655
New Castle,PA,85512,41534,43978,94.4,4518,4187,5217,4992,4960,9614,9121,10673,6385,6776,10530,5897,2642,45.2,16979,68533,65667,22852,19069,33102,35431,93.4,8177,10892,75.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1377,-999999999,-999999999,-999999999,-999999999,68112,32833,35279
New Haven,CT,854757,412429,442328,93.2,43784,45832,49314,56920,58229,114713,101405,111132,59747,60967,85395,45028,22291,40.6,170625,684132,645001,189912,152714,325406,358726,90.7,65808,86906,75.7,824392,30365,613987,122987,1570,-999999999,-999999999,-999999999,-999999999,34348,10255,10177,3209,443,2477,973,6814,41,-999999999,-999999999,-999999999,-999999999,51459,10103,2833,5724,2443,163616,17839,97725,3576,44476,637465,300948,336517
New Orleans,LA,1270530,611341,659189,92.7,76684,76173,83303,73868,72976,180888,171769,151304,83667,90682,129575,59224,20417,39,280935,989595,943996,265106,209216,469132,520463,90.1,92345,116871,79,1245815,24715,728668,447041,6949,998,59,386,282,37203,4997,6236,2104,855,1383,17879,3749,75,-999999999,-999999999,-999999999,-999999999,25879,9655,4408,3474,1781,114764,24362,4911,12313,73178,945336,444643,500693
New Philadelphia,OH,91987,46112,45875,100.5,5743,5730,6044,5248,5190,10624,10777,11011,6845,6119,10494,5567,2595,41.6,20936,71051,67934,22045,18656,34979,36072,97,8464,10192,83,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2938,-999999999,-999999999,-999999999,-999999999,70374,34585,35789
New York,NY,19216182,9300265,9915917,93.8,1150060,1082147,1175392,1126870,1181217,2848617,2513872,2513032,1290338,1219891,1745408,947724,421614,39.1,4096809,15119373,14450877,3826814,3114746,7204839,7914534,91,1323729,1791017,73.9,18590046,626136,10969857,3367769,60272,1800,357,184,464,2209278,651889,791948,192452,37080,196652,29360,309897,6333,2569,336,830,2598,1976537,173405,33631,145588,17264,4808471,576333,1172092,136988,2923058,13005253,6158440,6846813
Niles,MI,153401,74238,79163,93.8,8780,9649,9277,9867,8487,18354,17242,18401,12453,9927,18004,7685,5275,42.1,33202,120199,113776,36760,30964,57913,62286,93,13811,17153,80.5,148354,5047,121331,22252,876,-999999999,-999999999,-999999999,-999999999,2557,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1338,1988,688,1011,338,8829,4407,1915,380,2127,116403,56227,60176
North Port,FL,836995,403088,433907,92.9,32933,31199,44492,39621,39119,76317,76961,94030,60838,65921,143845,96722,34997,53.5,133078,703917,678449,316503,275564,333216,370701,89.9,126453,149111,84.8,819814,17181,736676,54628,1447,-999999999,-999999999,-999999999,-999999999,15784,3922,2637,3815,334,706,3615,755,35,-999999999,-999999999,-999999999,-999999999,11244,6849,3151,3661,119,109563,47073,20394,15498,26598,662909,313777,349132
North Wilkesboro,NC,68412,33920,34492,98.3,2880,3490,4090,4472,4133,6621,8315,9098,4697,5167,8620,4852,1977,45.2,13045,55367,52137,18826,15449,26953,28414,94.9,6661,8788,75.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4728,-999999999,-999999999,-999999999,-999999999,54467,26615,27852
Norwich,CT,265206,132774,132432,100.3,12625,12079,16599,15691,20033,33911,30493,34413,20854,18738,29164,14650,5956,41.9,50896,214310,205321,60022,49770,106460,107850,98.7,22577,27193,83,254592,10614,213621,17205,2383,-999999999,-999999999,-999999999,-999999999,11608,2885,3531,3288,185,553,112,1054,0,-999999999,-999999999,-999999999,-999999999,9775,3560,2115,1765,411,29443,4579,11046,1135,12683,203605,101346,102259
Opelousas,LA,82124,40201,41923,95.9,5912,5304,6478,5888,4347,10354,9484,9163,5420,5881,7971,4306,1616,38.2,21175,60949,57509,17552,13893,28902,32047,90.2,6044,7849,77,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1940,-999999999,-999999999,-999999999,-999999999,60519,28693,31826
Orangeburg,SC,86175,40184,45991,87.4,4441,5535,5962,5810,5973,10013,8714,10089,4481,7831,10311,4712,2303,41.2,19222,66953,63341,22218,17326,30605,36348,84.2,7475,9851,75.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2040,-999999999,-999999999,-999999999,-999999999,66819,30538,36281
Orlando,FL,2608147,1276215,1331932,95.8,148157,158348,160975,164382,175985,394444,365089,333009,158711,153250,229945,121796,44056,37.7,565145,2043002,1939744,483655,395797,985617,1057385,93.2,175127,220670,79.4,2522466,85681,1791078,440256,8094,-999999999,-999999999,-999999999,-999999999,115783,43148,18830,17747,1531,3010,22808,8709,2570,-999999999,-999999999,-999999999,-999999999,164685,28515,7339,19373,2096,832426,78248,385177,59192,309809,1834902,883972,950930
Oshkosh,WI,171907,86978,84929,102.4,9103,10802,8939,11345,13815,23601,21014,21449,11561,11284,16464,8863,3667,37.9,35005,136902,129143,35093,28994,68588,68314,100.4,13097,15897,82.4,169180,2727,155315,4049,1084,-999999999,-999999999,-999999999,-999999999,4560,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,986,-999999999,-999999999,-999999999,-999999999,3186,1281,604,619,26,7490,-999999999,-999999999,-999999999,-999999999,133958,67281,66677
Ottawa,IL,146685,73939,72746,101.6,7826,8730,8438,8425,7924,17278,17686,18528,11489,10434,16687,8709,4531,42.9,30755,115930,111510,36552,29927,57712,58218,99.1,13530,16397,82.5,144663,2022,134964,3829,86,-999999999,-999999999,-999999999,-999999999,1189,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,4595,439,501,493,138,14429,12222,770,73,1364,113518,56371,57147
Owensboro,KY,121128,59776,61352,97.4,7898,8517,7742,6551,7419,15311,15025,14966,8804,7789,12068,6510,2528,39.9,28517,92611,88855,25940,21106,45186,47425,95.3,9475,11631,81.5,118999,2129,109702,2742,361,-999999999,-999999999,-999999999,-999999999,4743,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48,-999999999,-999999999,-999999999,-999999999,1403,1194,274,360,0,3398,-999999999,-999999999,-999999999,-999999999,89756,43817,45939
Oak Harbor,WA,85141,43650,41491,105.2,5377,4049,3639,4418,5841,11414,9419,8276,5584,6544,12450,6419,1711,42.8,15185,69956,66859,24955,20580,35098,34858,100.7,9520,11060,86.1,81067,4074,71109,3134,1173,-999999999,-999999999,-999999999,-999999999,3662,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1129,-999999999,-999999999,-999999999,-999999999,860,334,669,869,0,6969,-999999999,-999999999,-999999999,-999999999,68025,34535,33490
Ocala,FL,365579,175107,190472,91.9,17871,17071,20680,19179,16923,39613,36615,40715,26167,23795,57510,37684,11756,48.9,67252,298327,288097,121342,106950,140498,157829,89,48896,58054,84.2,358221,7358,299730,48342,1486,-999999999,-999999999,-999999999,-999999999,4194,787,954,1012,389,75,388,589,0,-999999999,-999999999,-999999999,-999999999,4469,1431,1226,3199,56,51636,7988,22889,4869,15890,290488,136811,153677
Ocean City,NJ,92039,44588,47451,94,3621,4921,4704,3968,4868,9238,8845,11036,6927,9090,14225,7724,2872,50.5,15950,76089,73934,30194,24821,36324,39765,91.3,11087,13734,80.7,89771,2268,83801,4126,0,-999999999,-999999999,-999999999,-999999999,448,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1396,-999999999,-999999999,-999999999,-999999999,7452,-999999999,-999999999,-999999999,-999999999,73000,34850,38150
Odessa,TX,166223,84643,81580,103.8,14731,16102,12125,11420,11174,28829,22636,17140,8406,7791,9374,4532,1963,31,50336,115887,109136,20392,15869,59147,56740,104.2,6932,8937,77.6,162113,4110,130632,10143,1671,-999999999,-999999999,-999999999,-999999999,1990,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23,-999999999,-999999999,-999999999,-999999999,17654,1429,573,237,0,103987,98173,461,1274,4079,99593,50305,49288
Ogden,UT,683024,345293,337731,102.2,52954,58519,60022,53089,46826,97812,98518,71798,33545,34513,45698,23282,6448,32.3,206538,476486,447509,96154,75428,237670,238816,99.5,35385,40043,88.4,663429,19595,623454,7572,4105,-999999999,-999999999,-999999999,-999999999,11907,301,1371,2648,2999,725,1464,2399,4314,303,113,2302,1596,12077,4242,2351,6669,0,90911,66346,1944,125,22496,461216,230114,231102
Ogdensburg,NY,107740,54553,53187,102.6,5230,4877,6980,9350,9069,12736,11678,13016,7756,7526,11449,5940,2133,40.1,20882,86858,78275,23995,19522,43972,42886,102.5,9342,10180,91.8,105244,2496,99891,2443,875,-999999999,-999999999,-999999999,-999999999,1169,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,866,882,659,370,70,2594,328,1553,4,709,85516,43222,42294
Oklahoma City,OK,1408950,694838,714112,97.3,91362,92555,103611,97678,102072,204853,187393,159539,86309,82435,120956,57472,22715,35.6,344152,1064798,1005064,250333,201143,517599,547199,94.6,89894,111249,80.8,1327631,81319,1044859,145613,56936,13034,190,125,346,47525,9181,4650,4178,1120,2328,17600,8468,1004,-999999999,-999999999,-999999999,-999999999,31694,15648,38028,8323,7241,194888,161614,5422,582,27270,1005064,487988,517076
Olean,NY,76117,38132,37985,100.4,4406,4608,4569,5062,4569,8514,8235,9277,5605,5810,9178,4677,1607,42.5,16610,59507,56266,18726,15462,29453,30054,98,7151,8311,86,74786,1331,69772,1159,2652,-999999999,-999999999,-999999999,-999999999,656,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,547,676,414,179,0,1635,-999999999,-999999999,-999999999,-999999999,58996,29119,29877
Olympia,WA,290536,141818,148718,95.4,17120,18496,15338,18014,16453,39829,39598,36433,17027,20977,31532,15594,4125,39.6,61707,228829,219384,63888,51251,110554,118275,93.5,23048,28203,81.7,273890,16646,235404,11195,4635,-999999999,-999999999,-999999999,-999999999,16267,951,1818,6270,1014,2863,1380,1971,2567,538,950,812,267,3822,1953,2979,7297,342,27212,19839,1377,300,5696,218166,105532,112634
Omaha,NE,949726,470435,479291,98.2,67118,67601,67822,63878,57386,135984,127507,112316,59309,55933,81367,38317,15188,36.1,242109,707617,672586,167952,134872,345920,361697,95.6,59935,74937,80,921280,28446,796651,73738,6655,375,442,79,1861,29339,5297,2558,2424,1062,2716,5116,10166,1010,706,191,0,113,13887,10640,3058,7082,263,103063,75467,4912,1217,21467,671025,327551,343474
Oxnard,CA,846006,417932,428074,97.6,47323,46665,61801,57549,55414,113309,104866,109967,58672,53817,78541,40324,17758,39,190291,655715,620516,167524,136623,321203,334512,96,61034,75589,80.7,807374,38632,678174,15510,5745,-999999999,-999999999,-999999999,-999999999,63728,8988,10580,23302,3194,4490,5240,7934,1139,-999999999,-999999999,-999999999,-999999999,43078,5828,9793,11387,321,365835,324026,4091,1993,35725,572857,277234,295623
Paducah,KY,95748,45489,50259,90.5,5555,5851,6321,5596,5440,10020,11782,12793,5925,7966,10499,6277,1723,42.9,21474,74274,70676,23620,18499,35068,39206,89.4,7968,10531,75.7,91647,4101,82933,6627,733,-999999999,-999999999,-999999999,-999999999,1011,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,343,-999999999,-999999999,-999999999,-999999999,2685,-999999999,-999999999,-999999999,-999999999,74015,34881,39134
Palatka,FL,74521,37174,37347,99.5,3830,4452,4947,3600,4108,7138,8097,9350,5923,5581,9966,6177,1352,46.6,15798,58723,56655,20613,17495,28906,29817,96.9,8481,9014,94.1,73496,1025,59972,12245,485,-999999999,-999999999,-999999999,-999999999,547,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,247,-999999999,-999999999,-999999999,-999999999,7597,-999999999,-999999999,-999999999,-999999999,56375,27331,29044
Palm Bay,FL,601942,293637,308305,95.2,27344,26916,35205,32082,29623,70135,63155,72931,52460,46317,78439,50101,17234,47.2,109373,492569,472640,174765,145774,238230,254339,93.7,66767,79007,84.5,575204,26738,493588,53058,1596,-999999999,-999999999,-999999999,-999999999,15018,3744,4611,2596,644,853,2166,404,623,-999999999,-999999999,-999999999,-999999999,11321,12674,4135,4040,195,65612,10832,29360,8011,17409,477843,231735,246108
