87,Long Beach,CA,49.59,165,29,58
88,Santa Ana,CA,49.42,147,37,84
89,Honolulu,HI,49.4,130,11,177
90,Baltimore,MD,49.39,152,18,125
91,Corpus Christi,TX,49.32,15,158,70
92,Washington,DC,49.26,181,5,65
93,Tacoma,WA,49.25,77,77,118
94,Casper,WY,49.21,100,132,28
95,Augusta,GA,49.12,63,140,51
96,Salem,OR,49,114,55,120
96,Las Vegas,NV,49,118,40,135
98,Port St. Lucie,FL,48.87,6,168,151
99,Oklahoma City,OK,48.75,29,152,81
100,Phoenix,AZ,48.7,97,101,66
101,Los Angeles,CA,48.62,172,22,77
102,Amarillo,TX,48.6,17,165,106
103,Lewiston,ME,48.55,160,112,7
104,Charleston,SC,48.54,78,89,108
105,Durham,NC,48.5,62,118,89
106,Chesapeake,VA,48.48,4,163,159
107,Fort Worth,TX,48.42,22,138,126
108,Bakersfield,CA,48.36,55,96,153
109,Pembroke Pines,FL,48.28,60,128,90
110,Columbus,GA,48.26,64,137,85
111,Akron,OH,48.22,70,102,123
112,Las Cruces,NM,48.12,164,144,6
113,Boise,ID,48.1,140,117,13
114,Tulsa,OK,48.05,76,130,68
115,Raleigh,NC,48.03,45,99,167
116,Arlington,TX,48.01,13,170,104
117,Nashville,TN,47.91,96,100,93
118,Aurora,CO,47.9,90,126,62
119,Chula Vista,CA,47.87,92,124,67
120,West Valley City,UT,47.68,21,131,168
120,Ontario,CA,47.68,56,116,148
122,Rapid City,SD,47.62,127,91,80
123,Fresno,CA,47.58,168,60,75
124,Huntington,WV,47.51,171,58,57
125,Pearl City,HI,47.5,16,139,173
126,Houston,TX,47.39,49,127,140
127,Atlanta,GA,47.37,167,17,171
128,Chattanooga,TN,47.31,146,66,124
129,Laredo,TX,47.3,86,172,27
130,Santa Rosa,CA,47.3,138,69,113
131,Stockton,CA,47.27,148,65,115
132,Aurora,IL,47.22,43,176,71
133,El Paso,TX,47.19,32,161,114
134,Irving,TX,47.16,14,174,127
135,Manchester,NH,47.11,111,82,141
136,Garden Grove,CA,46.94,166,85,45
137,Anchorage,AK,46.83,23,178,87
138,Oxnard,CA,46.68,75,109,164
139,Dallas,TX,46.66,61,123,157
140,Richmond,VA,46.59,163,28,175
141,Wilmington,DE,46.51,176,73,34
142,Tallahassee,FL,46.28,94,141,119
143,Detroit,MI,46.22,175,46,92
144,Baton Rouge,LA,46.19,149,87,91
145,New Orleans,LA,46.09,151,52,172
146,Cheyenne,WY,46.02,133,164,30
147,Newport News,VA,46,34,147,169
148,Montgomery,AL,45.98,41,166,161
149,Hialeah,FL,45.84,83,122,162
150,Newark,NJ,45.81,169,68,107
151,Warwick,RI,45.75,35,157,170
152,Boston,MA,45.7,180,33,79
153,Fort Wayne,IN,45.68,129,108,110
154,Huntsville,AL,45.63,59,156,158
155,Shreveport,LA,45.61,122,149,72
156,Charlotte,NC,45.54,73,119,176
157,Jackson,MS,45.49,113,182,11
158,Mobile,AL,45.39,68,159,166
159,Fontana,CA,45.38,74,154,146
160,Burlington,VT,45.29,179,34,122
161,Garland,TX,45.15,31,180,134
162,Columbia,SC,45.08,144,121,86
163,Nampa,ID,45.04,145,173,25
164,Birmingham,AL,45.03,110,133,129
165,Cape Coral,FL,44.83,72,150,165
166,Fayetteville,NC,44.8,81,136,178
167,Brownsville,TX,44.68,105,167,95
168,Norfolk,VA,44.61,116,97,174
169,Dover,DE,44.58,141,129,97
170,Memphis,TN,44.49,136,134,96
171,North Las Vegas,NV,44.42,88,162,145
172,Greensboro,NC,44.13,65,148,182
173,Moreno Valley,CA,44.05,99,160,149
174,Knoxville,TN,43.87,153,113,131
175,Juneau,AK,43.73,46,181,160
176,Worcester,MA,43.35,161,114,137
177,San Bernardino,CA,43.26,143,125,154
178,Winston-Salem,NC,41.23,101,177,181
179,New Haven,CT,40.58,182,94,144
180,Providence,RI,40.47,177,90,179
181,Gulfport,MS,39.98,159,179,147
182,Bridgeport,CT,38.06,178,145,180
